Date,Open,High,Low,Close,Adj Close,Volume
2020-05-18,4.850000,5.160000,4.570000,4.790000,4.523051,2247800
2020-05-25,4.850000,5.080000,4.560000,4.720000,4.456953,1247000
2020-06-01,4.700000,7.140000,4.689000,6.940000,6.553231,2239100
2020-06-08,6.980000,7.290000,6.135000,6.500000,6.137753,1285800
2020-06-15,6.260000,7.500000,6.220000,7.080000,6.685428,1713500
2020-06-22,6.990000,7.120000,5.950000,6.000000,5.665617,1278100
2020-06-29,6.120000,6.570000,5.970000,6.310000,5.958341,715000
2020-07-06,6.550000,7.010000,5.980000,6.110000,5.769486,1131500
2020-07-13,6.130000,6.180000,5.800000,5.980000,5.646732,925100
2020-07-20,5.940000,6.300000,5.800000,6.110000,5.769486,1009000
2020-07-27,6.060000,7.160000,5.950000,6.790000,6.411590,1017200
2020-08-03,6.790000,7.215000,6.460000,7.030000,6.638216,985900
2020-08-10,6.970000,7.970000,6.940000,7.860000,7.421959,834300
2020-08-17,7.890000,7.910000,6.900000,6.950000,6.579875,639800
2020-08-24,7.010000,7.290000,6.890000,7.160000,6.778692,595700
2020-08-31,7.140000,7.340000,6.140000,6.350000,6.011828,748100
2020-09-07,6.350000,6.990000,6.240000,6.900000,6.532538,584900
2020-09-14,6.960000,7.641000,6.910000,7.290000,6.901769,1203400
2020-09-21,7.090000,7.130000,6.240000,6.680000,6.324255,841500
2020-09-28,6.850000,7.800000,6.670000,7.770000,7.356206,580900
2020-10-05,7.890000,8.150000,7.430000,7.490000,7.091118,829700
2020-10-12,7.440000,7.785000,7.190000,7.320000,6.930171,501900
2020-10-19,7.270000,7.670000,7.180000,7.600000,7.195259,589900
2020-10-26,7.500000,7.500000,6.380000,6.460000,6.115971,505100
2020-11-02,6.500000,6.770000,6.410000,6.570000,6.220113,558000
2020-11-09,6.910000,7.160000,6.740000,6.990000,6.617745,678600
2020-11-16,7.100000,7.670000,7.010000,7.400000,7.005911,989000
2020-11-23,7.310000,8.050000,7.090000,7.540000,7.158938,890400
2020-11-30,7.530000,7.950000,7.030000,7.930000,7.529228,1062200
2020-12-07,7.950000,7.980000,7.150000,7.400000,7.026014,2120400
2020-12-14,7.530000,7.690000,7.110000,7.190000,6.826627,1970600
2020-12-21,7.190000,7.430000,6.900000,7.240000,6.874100,989500
2020-12-28,7.280000,7.630000,7.010000,7.360000,6.988036,1597600
2021-01-04,7.430000,8.970000,7.405000,8.500000,8.070421,4546600
2021-01-11,8.640000,8.640000,7.820000,8.210000,7.795077,13080000
2021-01-18,8.300000,9.140000,8.280000,8.700000,8.260313,4521800
2021-01-25,8.650000,8.790000,7.350000,7.910000,7.510239,3694500
2021-02-01,8.120000,8.400000,7.710000,8.270000,7.852045,3702600
2021-02-08,8.370000,10.340000,8.000000,10.340000,9.817430,4219600
2021-02-15,10.440000,10.950000,9.800000,10.170000,9.656022,2062800
2021-02-22,10.180000,11.150000,9.630000,10.500000,9.969343,2893300
2021-03-01,10.790000,11.940000,10.240000,11.360000,10.785881,3186200
2021-03-08,11.360000,11.890000,10.550000,11.630000,11.042234,9341500
2021-03-15,11.590000,12.440000,11.010000,12.160000,11.565151,3897200
2021-03-22,12.310000,12.560000,9.849000,10.500000,9.986357,7457100
2021-03-29,10.480000,10.480000,9.780000,10.230000,9.729564,2063700
2021-04-05,10.250000,10.980000,9.860000,10.860000,10.328745,2491500
2021-04-12,10.850000,11.850000,10.330000,11.750000,11.175208,2264600
2021-04-19,11.970000,14.220000,11.970000,14.000000,13.315142,5343700
2021-04-26,14.400000,15.400000,14.040000,15.340000,14.589591,3179700
2021-05-03,15.940000,16.950001,14.990000,16.389999,15.588225,5942900
2021-05-10,16.700001,17.000000,14.770000,15.230000,14.484971,4786200
2021-05-17,14.920000,17.132999,14.890000,16.760000,15.992185,6422600
2021-05-24,16.809999,17.010000,14.840000,15.800000,15.076164,4523200
2021-05-31,16.040001,16.750000,15.470000,15.740000,15.018912,3201800
2021-06-07,15.860000,18.820000,15.860000,18.790001,17.929186,5061300
2021-06-14,18.980000,19.580000,17.400000,18.450001,17.604763,5982600
2021-06-21,18.480000,20.610001,18.420000,19.680000,18.778412,6388700
2021-06-28,19.580000,19.590000,17.230000,17.879999,17.060873,4367300
2021-07-05,17.879999,18.500000,17.500000,18.410000,17.566593,2391900
2021-07-12,18.420000,18.530001,15.960000,16.139999,15.400587,3735000
2021-07-19,15.330000,17.889999,15.310000,17.540001,16.736452,2884500
2021-07-26,17.700001,18.527000,17.252001,17.549999,16.745991,2268800
2021-08-02,17.650000,18.500000,16.389999,17.350000,16.555155,4093400
2021-08-09,17.340000,19.250000,16.500000,18.000000,17.175377,4685300
2021-08-16,17.830000,18.250000,16.580000,17.139999,16.354773,3537000
2021-08-23,17.420000,20.530001,17.420000,20.410000,19.583767,3536600
2021-08-30,20.610001,20.650000,18.959999,20.150000,19.334291,2384500
2021-09-06,20.150000,20.940001,19.270000,20.160000,19.343889,2224300
2021-09-13,21.320000,22.000000,20.209999,20.530001,19.698912,3024500
2021-09-20,19.120001,19.660000,17.379999,19.000000,18.230846,4316900
2021-09-27,18.879999,20.780001,18.750000,20.469999,19.641336,3009300
2021-10-04,20.389999,20.580000,18.639999,19.100000,18.326799,2411400
2021-10-11,19.270000,19.750000,17.030001,17.160000,16.465332,3693800
2021-10-18,17.370001,18.990000,17.152000,17.540001,16.829952,2521100
2021-10-25,17.570000,17.820000,16.224001,17.170000,16.474928,2638700
2021-11-01,17.240000,17.990000,15.630000,15.810000,15.169985,4014400
2021-11-08,16.209999,16.570000,15.100000,15.460000,14.834152,2798500
2021-11-15,15.280000,15.380000,13.750000,14.020000,13.580647,4186900
2021-11-22,14.180000,14.960000,13.870000,14.540000,14.084351,2861500
2021-11-29,15.000000,15.820000,14.370000,15.060000,14.588055,5534200
2021-12-06,15.120000,16.629999,14.770000,15.530000,15.043325,3091700
2021-12-13,15.530000,15.550000,13.990000,14.830000,14.365262,3120700
2021-12-20,14.470000,15.470000,14.100000,15.270000,14.791474,1721800
2021-12-27,15.160000,16.020000,14.680000,16.000000,15.498597,2795700
